Authors,Title,Pasquale,Mary,Overall,Motivation,Year,Link,Abstract,Publication Stage,Open Access,Manually added
Recupero D.R.; Consoli S.; Gangemi A.; Nuzzolese A.G.; Presutti V.; Spampinato D.,Semantic web-based sentiment analysis,1,1,1,#use sentiment analysis,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926391179&partnerID=40&md5=2348848a14158c7f8c3ec2bdd1146d5a,"The introduction of semantics in Sentiment Analysis research has proved to bring several benefits for what performances are concerned and has allowed to identify new challenging tasks to be accomplished. Semantics helps structuring the plain natural language text with formal representation. The current system we are developing performs sentiment analysis by hybridizing natural language processing techniques with Semantic Web technologies. Our system, called Sentilo, is able to recognize the holder of an opinion, to detect the topics and sub-topics in its scope, and to measure the sentiment expressed by them. This information is formally represented by means of RDF graphs according to an OWL opinion ontology, while holders and topics identity is resolved on the Linked Open Data cloud.",Final,,
Calì A.; Capuzzi S.; Dimartino M.M.; Frosini R.,Recommendation of text tags in social applications using linked data,-1,1,1,#use #sematic-similarity,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893742773&doi=10.1007%2f978-3-319-04244-2_17&partnerID=40&md5=45ad37b0010cf876305de854d418aa6f,We present a recommender system that suggests geo-located text tags by using linguistic information extracted from Linked Data sets available on the Web. The recommender system performs tag matching by measuring the semantic similarity of natural language texts. Our approach evaluates similarity using a technique that compares sentences taking into account their grammatical structure. © Springer International Publishing 2013.,Final,All Open Access; Bronze Open Access,
Guo M.; Chen Y.; Xu J.; Zhang Y.,Dynamic Knowledge Integration for Natural Language Inference,-1,1,1,#use,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139414930&doi=10.1109%2fICNLP55136.2022.00066&partnerID=40&md5=0bedbd55d6413eaf9aaa331f6cc6d90c,"Natural language inference (NLI) aims to determine the entailment relationship between the premise and the hypothesis. It is a fundamental but difficult problem, since there may exists serious semantic and logistic gap between the premise and the hypothesis. Despite using strong pre-trained language model (PLM), previous work performs poorly on complicated reasoning for knowledge-sensitive cases ignoring the integration of external knowledge. We propose a dynamic knowledge integration strategy for NLI, where knowledge from multiple knowledge graphs (KGs) can be dynamically integrated. For each KG, it transforms input tokens into a graph according to the connectivity of the related entities. All the graphs are encoded by a group of parallel graph neural networks (GNNs), and after each layer the intermediate results are integrated dynamically by being conditioned on the input text. This strategy also facilitates the incorporation of PLM, simply by treating the input tokens as a fully connected graph and adapting the PLM outputs as the node embeddings. Experiments on SNLI, MNLI and SciTail show that, the dynamic integration of knowledge from WordNet and ConceptNet achieves significant improvements over the strongest baseline built upon RoBERTa. © 2022 IEEE.",Final,,
Pan Y.; Chen Q.; Peng W.; Wang X.; Hu B.; Liu X.; Chen J.; Zhou W.,MedWriter: Knowledge-Aware Medical Text Generation,-1,1,1,#use,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139892424&partnerID=40&md5=e3ce78079138dbef5b8f502fc13e0dea,"To exploit the domain knowledge to guarantee the correctness of generated text has been a hot topic in recent years, especially for high professional domains such as medical. However, most of recent works only consider the information of unstructured text rather than structured information of the knowledge graph. In this paper, we focus on the medical topic-to-text generation task and adapt a knowledge-aware text generation model to the medical domain, named MedWriter, which not only introduces the specific knowledge from the external MKG but also is capable of learning graph-level representation. We conduct experiments on a medical literature dataset collected from medical journals, each of which has a set of topic words, an abstract of medical literature and a corresponding knowledge graph from CMeKG. Experimental results demonstrate incorporating knowledge graph into generation model can improve the quality of the generated text and has robust superiority over the competitor methods. © 2020 COLING 2020 - 28th International Conference on Computational Linguistics, Proceedings of the Conference. All rights reserved.",Final,,
Kumar S.; Jat S.; Saxena K.; Talukdar P.,Zero-shot word sense disambiguation using sense definition embeddings,-1,1,1,#use #word-sense_disambiguation WordNet,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075859601&partnerID=40&md5=df7fa442077c5b74e0de03860cb4219b,"Word Sense Disambiguation (WSD) is a longstanding but open problem in Natural Language Processing (NLP). WSD corpora are typically small in size, owing to an expensive annotation process. Current supervised WSD methods treat senses as discrete labels and also resort to predicting the Most-Frequent-Sense (MFS) for words unseen during training. This leads to poor performance on rare and unseen senses. To overcome this challenge, we propose Extended WSD Incorporating Sense Embeddings (EWISE), a supervised model to perform WSD by predicting over a continuous sense embedding space as opposed to a discrete label space. This allows EWISE to generalize over both seen and unseen senses, thus achieving generalized zero-shot learning. To obtain target sense embeddings, EWISE utilizes sense definitions. EWISE learns a novel sentence encoder for sense definitions by using WordNet relations and also ConvE, a recently proposed knowledge graph embedding method. We also compare EWISE against other sentence encoders pretrained on large corpora to generate definition embeddings. EWISE achieves new state-of-the-art WSD performance. © 2019 Association for Computational Linguistics",Final,,
Li H.; Xu F.,Question answering with DBpedia based on the dependency parser and entity-centric index,,1,1,#use #question-answering WordNet and conceptnet to expand synonyms,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994850866&doi=10.1109%2fICCIA.2016.10&partnerID=40&md5=d27f5e4648b945d672480870bf24972f,"The emerging Linked Open Data provides an opportunity to answer the natural language question based on knowledge bases (KB). This study proposes an approach to question answering (QA) on the DBpedia dataset. After parsing the question by a dependency parser, we locate the entity mention and property mention with predefined templates. We propose an entity-centric indexing model to help search referent entities in KB. After obtaining the referent entities, we expand the property mention with WordNet and ConceptNet to find the referent properties of the returned entities. The values of the referent property are then considered the answer to the question. Evaluations are performed on DBpedia version 2015. Results show that our approach reaches 46% precision when the top-10 entities are returned in the final QA stage. The evaluation tests show that our approach is promising in dealing with QA in Linked Data. © 2016 IEEE.",Final,,
Van Aggelen A.; Hollink L.; Van Ossenbruggen J.,Combining distributional semantics and structured data to study lexical change,1,1,1,#use,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016291410&partnerID=40&md5=c553b8279d1c93ff2cff33aba3370daa,"Statistical Natural Language Processing (NLP) techniques allow to quantify lexical semantic change using large text corpora. Word-level results of these methods can be hard to analyse in the context of sets of semantically or linguistically related words. On the other hand, structured knowledge sources represent such relationships explicitly, but ignore the problem of semantic change. We aim to address these limitations by combining the statistical and symbolic approach: we enrich WordNet, a structured lexical database, with quantitative lexical change scores provided by HistWords, a dataset produced by distributional NLP methods. We publish the result as Linked Open Data and demonstrate how queries on the combined dataset can provide new insights. © 2016, CEUR-WS. All rights reserved.",Final,,
Srivastava N.; Perevalov A.; Kuchelev D.; Moussallem D.; Ngonga Ngomo A.-C.; Both A.,Lingua Franca - Entity-Aware Machine Translation Approach for Question Answering over Knowledge Graphs,1,1,1,#use,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180369135&doi=10.1145%2f3587259.3627567&partnerID=40&md5=65a582eb42da55e0bc56ce9e187cbe41,"This research paper proposes an approach called Lingua Franca that improves machine translation quality by utilizing information from a knowledge graph to translate named entities accurately. The accurate entity translation is crucial when applied to entity-oriented search including Knowledge Graph Question Answering systems. In a nutshell, the approach preserves recognized named entities with an entity-replacement technique during the translation process. It replaces the entities back with their labels found in a knowledge graph for the target language to ensure that questions are translated correctly before answering them using a Knowledge Graph Question Answering system. The paper also introduces an open-source modular framework that enables researchers to design their own named entity-aware machine translation pipelines. The presented experimental results demonstrate the effectiveness of the Lingua Franca approach in comparison to baseline Machine Translation models. The approach shows a statistically significant improvement in the quality provided by several Knowledge Graph Question Answering systems using Lingua Franca on different datasets. © 2023 ACM.",Final,,
AlMousa M.; Benlamri R.; Khoury R.,A novel word sense disambiguation approach using WordNet knowledge graph,1,1,1,#use #wordsensedisambiguation,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122705398&doi=10.1016%2fj.csl.2021.101337&partnerID=40&md5=ac2d90607397c902c5eaef4ae5251b0c,"Various applications in computational linguistics and artificial intelligence rely on high-performing word sense disambiguation techniques to solve challenging tasks such as information retrieval, machine translation, question answering, and document clustering. While text comprehension is intuitive for humans, machines face tremendous challenges in processing and interpreting a human's natural language. This paper presents a novel knowledge-based word sense disambiguation algorithm, namely Sequential Contextual Similarity Matrix Multiplication (SCSMM). The SCSMM algorithm combines semantic similarity, heuristic knowledge, and document context to respectively exploit the merits of local sense-based context between consecutive terms, human knowledge about terms, and a document's main topic in disambiguating terms. Unlike other algorithms, the SCSMM algorithm guarantees the capture of the maximum sentence context while maintaining the terms’ order within the sentence. The proposed algorithm outperformed all other algorithms when disambiguating nouns on the combined gold standard datasets, while demonstrating comparable results to current state-of-the-art word sense disambiguation systems when dealing with each dataset separately. Furthermore, the paper discusses the impact of granularity level, ambiguity rate, sentence size, and part of speech distribution on the performance of the proposed algorithm. © 2022 Elsevier Ltd",Final,All Open Access; Green Open Access,
Pedretti I.; Del Grosso A.; Giovannetti E.; Mancini L.; Piccini S.; Abrate M.; Lo Duca A.; Marchetti A.,"The clavius on the web project: Digitization, annotation and visualization of early modern manuscripts",1,1,1,#use,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958691991&doi=10.1145%2f2802612.2802636&partnerID=40&md5=62dee99529fbb39587a182d59688ec41,"This paper describes the full procedure adopted in the context of the Clavius on the Web project, which aims to help Web users to appraise the importance of specific manuscripts by going beyond their digital reproduction. The proposed approach is based on the multilayered explication of linguistic, lexical and semantic data representing the innermost nature of the analyzed manuscripts. The final purpose of the project is to gather and display the results of the three layers of analysis through interactive visualization techniques and export them as Linked Data. All the analyses rely on the XML/TEI encoding of the text, followed by a CTS-based tokenization. As a working example for this paper, the analysis of a portion of a manuscript provided by Historical Archives of the Pontifical Gregorian University will be illustrated. The text is a letter written in Latin and sent by Botvitus Nericius to Christophorus Clavius in 1598 from Madrid. © 2014 ACM.",Final,,
Li Y.; Clark P.,Answering elementary science questions by constructing coherent scenes using background knowledge,1,1,1,#use,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959867303&doi=10.18653%2fv1%2fd15-1236&partnerID=40&md5=ca35d2968fd72770c7eabd9c013c4b46,"Much of what we understand from text is not explicitly stated. Rather, the reader uses his/her knowledge to fill in gaps and create a coherent, mental picture or ""scene"" depicting what text appears to convey. The scene constitutes an understanding of the text, and can be used to answer questions that go beyond the text. Our goal is to answer elementary science questions, where this requirement is pervasive; A question will often give a partial description of a scene and ask the student about implicit information. We show that by using a simple ""knowledge graph"" representation of the question, we can leverage several large-scale linguistic resources to provide missing background knowledge, somewhat alleviating the knowledge bottleneck in previous approaches. The coherence of the best resulting scene, built from a question/answer-candidate pair, reflects the confidence that the answer candidate is correct, and thus can be used to answer multiple choice questions. Our experiments show that this approach outperforms competitive algorithms on several datasets tested. The significance of this work is thus to show that a simple ""knowledge graph"" representation allows a version of ""interpretation as scene construction"" to be made viable. © 2015 Association for Computational Linguistics.",Final,All Open Access; Green Open Access; Hybrid Gold Open Access,
Wendt M.; Gerlach M.; Düwiger H.,Linguistic modeling of linked open data for question answering,1,1,1,#use,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942694222&doi=10.1007%2f978-3-662-46641-4_8&partnerID=40&md5=5d225bae902853fe2896daa11926a55a,"With the evolution of linked open data sources, question answering regains importance as a way to make data accessible and explorable to the public. The triple structure of RDF-data at the same time seems to predetermine question answering for being devised in its native subject-verb-object form. The devices of natural language, however, often exceed this trFiple-centered model. But RDF does not preclude this point of view. Rather, it depends on the modeling. As part of a government funded research project named Alexandria, we implemented an approach to question answering that enables the user to ask questions in ways that may involve more than binary relations. © Springer-Verlag Berlin Heidelberg 2015.",Final,All Open Access; Green Open Access,
Franco-Salvador M.; Gupta P.; Rosso P.,Knowledge graphs as context models: Improving the detection of cross-language plagiarism with paraphrasing,1,1,1,#use #plagiarism-detection,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901341490&doi=10.1007%2f978-3-642-54798-0_12&partnerID=40&md5=38f36f4e100941b64bcdc632b5e709fd,"Cross-language plagiarism detection attempts to identify and extract automatically plagiarism among documents in different languages. Plagiarized fragments can be translated verbatim copies or may alter their structure to hide the copying, which is known as paraphrasing and is more difficult to detect. In order to improve the paraphrasing detection, we use a knowledge graph-based approach to obtain and compare context models of document fragments in different languages. Experimental results in German-English and Spanish-English cross-language plagiarism detection indicate that our knowledge graph-based approach offers a better performance compared to other state-of-the-art models. © 2014 Springer-Verlag.",Final,All Open Access; Green Open Access,
Li X.; Tur G.; Hakkani-Tur D.; Li Q.,Personal knowledge graph population from user utterances in conversational understanding,1,1,1,#use,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983195590&doi=10.1109%2fSLT.2014.7078578&partnerID=40&md5=1cdb2929b884ab85366b7f988ad9290f,"Knowledge graphs provide a powerful representation of entities and the relationships between them, but automatically constructing such graphs from spoken language utterances presents the novelty and numerous challenges. In this paper, we introduce a statistical language understanding approach to automatically construct personal (user-centric) knowledge graphs in conversational dialogs. Such information has the potential to better understand the users' requests, fulfilling them, and enabling other technologies such as developing better inferences or proactive interactions. Knowledge encoded in semantic graphs such as Freebase has been shown to benefit semantic parsing and interpretation of natural language utterances. Hence, as a first step, we exploit the personal factual relation triples from Freebase to mine natural language snippets with a search engine, and the resulting snippets containing pairs of related entities to create the training data. This data is then used to build three key language understanding components: (1) Personal Assertion Classification identifies the user utterances that are relevant with personal facts, e.g., 'my mother's name is Rosa'; (2) Relation Detection classifies the personal assertion utterance into one of the predefined relation classes, e.g., 'parents'; and (3) Slot Filling labels the attributes or arguments of relations, e.g., 'name(parents): Rosa'. Our experiments using the Microsoft conversational understanding system demonstrate the performance of this proposed approach on the population of personal knowledge graphs. © 2014 IEEE.",Final,,
Zugarini A.; Röthenbacher T.; Klede K.; Ernandes M.; Eskofier B.M.; Zanca D.,Die Rätselrevolution: Automated German Crossword Solving,1,1,1,#use,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181170035&partnerID=40&md5=e1a37ea17994eb346966d1a80adfd77c,"Crossword puzzles are popular word games played in various languages around the world, with diverse styles across different countries. For this reason, automated crossword solvers designed for a language, may not work well on others. In this paper, we extend Webcrow, an automatic crossword solver, to German, making it the first program for crossword solving in the German language. To address the lack of large clue-answer crossword pairs data, Webcrow combines multiple modules, known as experts, which retrieve potential answers from various resources, including the web, knowledge graphs, and linguistic rules. The system is evaluated on a collection of crosswords from variegate sources, where it is able to solve perfectly 67% of them. Additional analysis reveals that while our solver achieved commendable results, puzzles with poorly constrained schemas and original clues still presented significant hurdles. These findings shed light on the complexity of the crossword-solving problem and emphasize the need for future research to address and overcome these particular challenges effectively. © 2023 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",Final,,
Pavithra C.P.; Mandal S.,An Overview of Relevant Literature on Different Approaches to Word Sense Disambiguation,1,1,1,#use #wordsensedisambiguation,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123448034&doi=10.1109%2fICECCT52121.2021.9616677&partnerID=40&md5=362966991d677e643d37bcc41ddb99cc,"WSD (Word Sense Disambiguation) is a common issue in Natural Language Processing (NLP) and Machine Learning technology. In NLP, word sense disambiguation is described as the capacity to detect which meaning of a word is activated by its use in a specific context. WSD is a solution to the uncertainty that occurs when words have different meanings in different contexts. Contextual word meaning plays an important role in various applications such as sentiment analysis, search engine, information extraction, machine translation etc. It is a challenge for these systems to detect and overcome the uncertainty that emerges from the lexical ambiguity. Many studies have been conducted over the decades to propose various approaches to the WSD problem. In this manuscript, a comparative study of three approaches namely LESK algorithm, embedding techniques, and Neural Network techniques based on the text collected from children's story books is performed. We explored an approach that combines Bi-LSTM neural network with Knowledge Graph to predict contextual word meaning. Our study shows that the combined approach accuracy is 80.34approaches © 2021 IEEE.",Final,,
Becker M.; Korfhage K.; Frank A.,COCO-EX: A tool for linking concepts from texts to conceptnet,1,1,1,#use,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107282443&partnerID=40&md5=bf9c125f24319e7264ffc336123d4791,"In this paper we present COCO-EX, a tool for Extracting Concepts from texts and linking them to the ConceptNet knowledge graph. COCO-EX extracts meaningful concepts from natural language texts and maps them to conjunct concept nodes in ConceptNet, utilizing the maximum of relational information stored in the ConceptNet knowledge graph. COCO-EX takes into account the challenging characteristics of ConceptNet, namely that - unlike conventional knowledge graphs - nodes are represented as non-canonicalized, free-form text. This means that i) concepts are not normalized; ii) they often consist of several different, nested phrase types; and iii) many of them are uninformative, over-specific, or misspelled. A commonly used shortcut to circumvent these problems is to apply string matching. We compare COCO-EX to this method and show that COCO-EX enables the extraction of meaningful, important rather than overspecific or uninformative concepts, and allows to assess more relational information stored in the knowledge graph. © 2021 Association for Computational Linguistics",Final,,
