Authors,Title,Reviewer1,Reviewer2,Overall,Motivation,Year,Link,Abstract,Publication Stage,Open Access,Manually added
Oramas S.; Sordo M.; Espinosa-Anke L.,A rule-based approach to extracting relations from music tidbits,-1,,-1,#excluded,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968563052&doi=10.1145%2f2740908.2741709&partnerID=40&md5=b04597175eefe1cff3dc5ba56630c779,"This paper presents a rule based approach to extracting re- lations from unstructured music text sources. The proposed approach identifies and disambiguates musical entities in text, such as songs, bands, persons, albums and music gen- res. Candidate relations are then obtained by traversing the dependency parsing tree of each sentence in the text with at least two identified entities. A set of syntactic rules based on part of speech tags are defined to filter out spurious and irrel- evant relations. The extracted entities and relations are - nally represented as a knowledge graph. We test our method on texts from songfacts.com, a website that provides tidbits with facts and stories about songs. The extracted relations are evaluated intrinsically by assessing their linguistic qual- ity, as well as extrinsically by assessing the extent to which they map an existing music knowledge base. Our system produces a vast percentage of linguistically correct relations between entities, and is able to replicate a significant part of the knowledge base.",Final,All Open Access; Green Open Access,
Both A.; Avdiyenko L.; Lemke C.,Computing geo-spatial motives from linked data for search-driven applications,-1,,-1,#excluded #outofscope no linguistic features,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930741546&partnerID=40&md5=e4aa5bd0e9147f3d5414941f8b97af45,"The Web of Data puts a vast and ever-increasing amount of information at the disposal of its users. In the era of big data, interpreting and exploiting these information is both a highly active research area and a key issue for users in industry trying to gain a competitive edge. One current problem in industry with many potential application areas is finding a common theme for varying features by generating higher level summaries. We introduce the notion of motives to describe these common themes. Motives can be identified for all sorts of entities such as geo-spatial regions (e.g., ""cultural regions"") or holidays (e.g., ""win- ter holidays"", ""activity holidays""). These motives are closer to common language and human conversations than ordinary keywords. Since users prefer formulating their information needs using everyday language, which expresses their understanding of the world, the poten- tial for a strong industrial impact for search applications can be de- rived. However, capturing the users' often vaguely formulated intentions and matching them to appropriate retrieval operations on the available knowledge bases is a challenging issue. Yet, it is an important step on the way of providing the best possible search experience to users. This paper presents our work in progress on computing motives for geo- spatial regions. Following a long term agenda, we are evaluating the requirements for identifying such motives in large data sets. At this point, we can show that out-of-the-box machine learning methods can be used on Linked Data to train a model for computation of geo-spatial motives with good accuracy. Copyright © 2015 for the individual papers by the papers' authors.",Final,,
Meehan A.; Brennan R.; Lewis D.; O'Sullivan D.,Mapping representation based on meta-data and spin for localization workflows,-1,,-1,#excluded #outofscope no linguistic features,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924955908&partnerID=40&md5=9a58986dd708238421d6fecbd9d2576e,"The localization industry currently deploys language translation workflows based on heterogeneous tool-chains. Standardized tool interchange formats such as XLIFF (XML Localization Interchange File Format) have had some impact on enabling more agile translation workflows. However the rise of new tools based on machine translation technology and the growing demand for enterprise linked data applications has created new interoperability challenges as workflows need to encompass a broader range of tools. In this paper we present an approach of representing mappings between RDF-based representations of multilingual content and meta-data. To represent the mappings, we use a combination of SPARQL Inferencing Notation (SPIN) and meta-data. Our approach allows the mapping representation to be published as Linked Data. In contrast to other frameworks such as R2R, the mappings are executed via a standard SPARQL processor. The objective is to provide a more agile approach to translation workflows and greater interoperability between software tools by leveraging the ongoing innovation in the Multilingual Web field. Our use case is a Language Technology retraining workflow where publishing mappings leads to new opportunities for interoperability and end-to-end tool-chain analytics. We present the results from an initial experiment which compared our approach of executing and representing mappings to that of a similar approach - The R2R Framework.",Final,,
Liu X.; Chen M.; Qin J.,Interlinking cross language metadata using heterogeneous graphs and wikipedia,-1,,-1,#excluded not linguistic features,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013648969&partnerID=40&md5=adb01bcdabcb11bcbb9c5891ee9c07d2,"Cross-language metadata are essential in helping users overcome language barriers in information discovery and recommendation. The construction of cross-language vocabulary, however, is usually costly and intellectually laborious. This paper addresses these problems by proposing a Cross-Language Metadata Network (CLMN) approach, which uses Wikipedia as the intermediary for cross-language metadata linking. We conducted a proof-of-concept experiment with key metadata in two digital libraries and in two different languages without using machine translation. The experiment result is encouraging and suggests that the CLMN approach has the potential not only to interlink metadata in different languages with reasonable rate of precision and quality but also to construct cross-language metadata vocabulary. Limitations and further research are also discussed. © 2014, Dublin Core metadata initiative. All rights reserved.",Final,,
Biswas D.; Linzbach S.; Dimitrov D.; Jabeen H.; Dietze S.,Broadening BERT vocabulary for Knowledge Graph Construction using Wikipedia2Vec,-1,,-1,#excluded #outofscope,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179557571&partnerID=40&md5=1609abf8ea196ad7f449e16ff3bd92f7,"Recent advancements in natural language processing (NLP) have been driven by the utilization of large language models like BERT. These models, pre-trained on extensive textual data, capture linguistic and relational knowledge. Therefore, cloze-style prompts, which involve filling in missing words in a sentence, can be used to solve knowledge-intensive NLP tasks with the help of a language model. The ""Knowledge Base Construction from Pre-trained Language Models (LM-KBC 2023)"" challenge aims to harness language models’ potential for knowledge graph construction through prompts. In particular, contestants are challenged to infer the correct Wikidata ID of objects, given a prompt used to link subject, relation, and object. Automatically inferring the correct objects would help in reducing the need for an expensive manual graph population. Our proposed approach in Track 1 focuses on expanding BERT’s vocabulary with a task-specific one (i.e., Wikipedia2Vec) and facilitating its usage through prompt tuning with OPTIPROMPT. © 2023 CEUR-WS. All rights reserved.",Final,,
Gupta D.; Berberich K.,Weaving Text into Tables,-1,-1,-1,#excluded #outofscope no semantic web technologies,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095863899&doi=10.1145%2f3340531.3417442&partnerID=40&md5=fbf6df476c38a720c7cc8d20b25a044a,"In this paper, we showcase JIGSAW, a system that is able to shape unstructured text into structured tables for user-defined schemas. In short, to structure text into tables, JIGSAW leverages the lexico-syntactic structure imposed by linguistic annotations (e.g., part-of-speech, named entities, temporal and numerical expressions) on natural language text. We describe how challenging knowledge-centric tasks such as question answering, summarization, and analytics can be greatly simplified with the help of JIGSAW. © 2020 Owner/Author.",Final,All Open Access; Bronze Open Access,
Ruseti S.; Mirea A.; Rebedea T.; Trausan-Matu S.,QAnswer - Enhanced entity matching for question answering over linked data,-1,-1,-1,#excluded no linguistic features,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982843402&partnerID=40&md5=1f37b2483f4710ea1f8a2f3238080c2e,"QAnswer is a question answering system that uses DBpedia as a knowledge base and converts natural language questions into a SPARQL query. In order to improve the match between entities and relations and natural language text, we make use of Wikipedia to extract lexicalizations of the DBpedia entities and then match them with the question. These entities are validated on the ontology, while missing ones can be inferred. The proposed system was tested in the QALD-5 challenge and it obtained a F1 score of 0.30, which placed QAnswer in the second position in the challenge, despite the fact that the system used only a small subset of the properties in DBpedia, due to the long extraction process.",Final,,
Beyene M.; Portier P.-E.; Atnafu S.; Calabretto S.,Tensor Factorization for cross lingual entity co-reference resolution in the linked open data,-1,-1,-1,#excluded no linguistic features,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962739480&doi=10.1145%2f2857218.2857221&partnerID=40&md5=72043c8051e7adb679e1200263c74644,"The main objective of this research was to identify co-referent entities located in several linked open data (LOD) sources that are described in various natural languages. The problem is approached from two perspectives. First, we do a multi-scale analysis of the RDF graph to discover structural similarities of entities. This was implemented as a tensor decomposition of the RDF graph with each predicate corresponding to a horizontal slide of the tensor. Hereafter, we used the term ""structural evidence"" to refer to the result of this analysis. Second, for each entity, we associated textual data coming from the Web of documents. Thus, after some preprocessing (viz. removing empty words, applying a weighting scheme such as tf-idf, ⋯), we represented each entity in a high dimensional space with each dimension corresponding to a term. Next, through a Singular Value Decomposition (SVD), we find a subspace such that the sum of squared distances from the original space to the sub space is minimized. This dimensionality reduction allows us to find language independent similarities between entities. Hereafter, we use the term ""textual evidence"" to refer to the result of this analysis. Since the similarity information coming from the structural and the textual evidence are complementary to each other, a global similarity score is computed by aggregating the two evidences. We adopt a linear opinion pool, an approach which is commonly used in belief aggregation as an aggregation mechanism. In the end, for any given entity, we obtained a global similarity vector. The higher component values of this vector correspond to potential co-referent entities. All algorithms are implemented in Python. According to the experiment result conducted on the French and English DBpedia, our approach can bring high results. © 2015 ACM.",Final,,
Hakimov S.; Unger C.; Walter S.; Cimiano P.,Applying semantic parsing to question answering over linked data: Addressing the lexical gap,-1,-1,-1,#excluded,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948799577&doi=10.1007%2f978-3-319-19581-0_8&partnerID=40&md5=016d37f8a56437dea5c4290f9ffdfbdd,"Question answering over linked data has emerged in the past years as an important topic of research in order to provide natural language access to a growing body of linked open data on the Web. In this paper we focus on analyzing the lexical gap that arises as a challenge for any such question answering system. The lexical gap refers to the mismatch between the vocabulary used in a user question and the vocabulary used in the relevant dataset. We implement a semantic parsing approach and evaluate it on the QALD-4 benchmark, showing that the performance of such an approach suffers from training data sparseness. Its performance can, however, be substantially improved if the right lexical knowledge is available. To show this, we model a set of lexical entries by hand to quantify the number of entries that would be needed. Further, we analyze if a state-of-the-art tool for inducing ontology lexica from corpora can derive these lexical entries automatically. We conclude that further research and investments are needed to derive such lexical knowledge automatically or semi-automatically. © Springer International Publishing Switzerland 2015.",Final,All Open Access; Green Open Access,
Tran P.N.; Nguyen D.T.,Mapping expansion of natural language entities to DBpedia's components for querying linked data,-1,-1,-1,#excluded #outofscope,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926200010&doi=10.1145%2f2701126.2701212&partnerID=40&md5=ee141ba8e35f1f40de6dd5df5c8c2faa,This paper introduces the MEQLD method (Mapping Expansion of Natural Language Entities to DBpedia's Components for Querying Linked Data) that we propose to perform a part of the Task 1 (Multilingual Question Answering) [15] of CLEF 2013 lab QALD-3 (Multilingual Question Answering over Linked Data) [14]. MEQLD investigates to improve the mapping extension of (lexical) entities of English questions into DBpedia's components for creating query in SPARQL Query Language [12]. This paper will focus on resolving the most difficult testing questions of QALD-3 [18] that all their submitted systems have no good evaluation.,Final,,
Dima C.,Answering natural language questions with Intui3,-1,-1,-1,#excluded #outofscope,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981172784&partnerID=40&md5=6588b24ece46e909c89bbacbf6b7a499,"Intui3 is one of the participating systems at the fourth evaluation campaign on multilingual question answering over linked data, QALD4. The system accepts as input a question formulated in natural language (in English), and uses syntactic and semantic information to construct its interpretation with respect to a given database of RDF triples (in this case DBpedia 3.9). The interpretation is mapped to the corresponding SPARQL query, which is then run against a SPARQL endpoint to retrieve the answers to the initial question. Intui3 competed in the challenge called Task 1: Multilingual question answering over linked data, which offered 200 training questions and 50 test questions in 7 different languages. It obtained an F-measure of 0.24 by providing a correct answer to 10 of the test questions and a partial answer to 4 of them.",Final,,
Narducci F.; Palmonari M.; Semeraro G.,CroSeR: Cross-language semantic retrieval of open government data,-1,-1,-1,#excluded #outofscope,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899928218&doi=10.1007%2f978-3-319-06028-6_98&partnerID=40&md5=4f1821db1a3c7a6fe02d240734e8ca19,"CroSer (Cross-language Semantic Retrieval) is an ir system able to discover links between e-gov services described in different languages. CroSeR supports public administrators to link their own source catalogs of e-gov services described in any language to a target catalog whose services are described in English and are available in the Linked Open Data (lod) cloud. Our system is based on a cross-language semantic matching method that i) translates service labels in English using a machine translation tool, ii) extracts a Wikipedia-based semantic representation from the translated service labels using Explicit Semantic Analysis (esa), iii) evaluates the similarity between two services using their Wikipedia-based representations. The user selects a service in a source catalog and exploits the ranked list of matches suggested by CroSeR to establish a relation (of type narrower, equivalent, or broader match) with other services in the English catalog. The method is independent from the language adopted in the source catalog and it does not assume the availability of information about the services other than very short text descriptions used as service labels. CroSeR is a web application accessible via http://siti-rack.siti.disco.unimib.it:8080/croser/. © 2014 Springer International Publishing Switzerland.",Final,,
Narducci F.; Palmonari M.; Semeraro G.,Cross-language semantic retrieval and linking of e-gov services,-1,-1,-1,#excluded #outofscope,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891943734&doi=10.1007%2f978-3-642-41338-4_9&partnerID=40&md5=62d2a3605eddce6d96e8da09fd427fc9,"Public administrations are aware of the advantages of sharing Open Government Data in terms of transparency, development of improved services, collaboration between stakeholders, and spurring new economic activities. Initiatives for the publication and interlinking of government service catalogs as Linked Open Data (lod) support the interoperability among European administrations and improve the capability of foreign citizens to access services across Europe. However, linking service catalogs to reference lod catalogs requires a significant effort from local administrations, preventing the uptake of interoperable solutions at a large scale. The web application presented in this paper is named CroSeR (Cross-language Service Retriever) and supports public bodies in the process of linking their own service catalogs to the lod cloud. CroSeR supports different European languages and adopts a semantic representation of e-gov services based on Wikipedia. CroSeR tries to overcome problems related to the short textual descriptions associated to a service by embodying a semantic annotation algorithm that enriches service labels with emerging Wikipedia concepts related to the service. An experimental evaluation carried-out on e-gov service catalogs in five different languages shows the effectiveness of our model. © 2013 Springer-Verlag.",Final,All Open Access; Bronze Open Access; Green Open Access,
Ding X.; Zhang Y.; Liu T.; Duan J.,Knowledge-driven event embedding for stock prediction,-1,-1,-1,#excluded #outofscope,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051146159&partnerID=40&md5=b392aa1f2bf3a29ea48ad7df6175ff10,"Representing structured events as vectors in continuous space offers a new way for defining dense features for natural language processing (NLP) applications. Prior work has proposed effective methods to learn event representations that can capture syntactic and semantic information over text corpus, demonstrating their effectiveness for downstream tasks such as event-driven stock prediction. On the other hand, events extracted from raw texts do not contain background knowledge on entities and relations that they are mentioned. To address this issue, this paper proposes to leverage extra information from knowledge graph, which provides ground truth such as attributes and properties of entities and encodes valuable relations between entities. Specifically, we propose a joint model to combine knowledge graph information into the objective function of an event embedding learning model. Experiments on event similarity and stock market prediction show that our model is more capable of obtaining better event embeddings and making more accurate prediction on stock market volatilities. © 1963-2018 ACL.",Final,,
Zhang S.; Gao Y.; Yang S.,Multilingual Knowledge Graph Completion Based on Structure Features of the Dual-Branch,-1,-1,-1,#excluded #outofscope,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150708413&doi=10.1051%2fwujns%2f2023281045&partnerID=40&md5=0243693989e4259de111b7e1a109b8a7,"With the development of information fusion, knowledge graph completion tasks have received a lot of attention. some studies investigate the broader underlying problems of linguistics, while embedding learning has a narrow focus. This poses significant challenges due to the heterogeneity of coarse-graining patterns. Then, to settle the whole matter, a framework for completion is designed, named Triple Encoder-Scoring Module (TEsm). The model employs an alternating two-branch structure that fuses local features into the interaction pattern of the triplet itself by perfectly combining distance and structure models. Moreover, it is mapped to a uniform shared space. Upon completion, an ensemble inference method is proposed to query multiple predictions from different graphs using a weight classifier. Experiments show that the experimental dataset used for the completion task is DBpedia, which contains five different linguistic subsets.. Our extensive experimental results demonstrate that TEsm can efficiently and smoothly solve the optimal completion task, validating the performance of the proposed model. © 2023 Wuhan University.",Final,All Open Access; Green Open Access; Hybrid Gold Open Access,
Zhang H.; Jiang C.,Verb-driven machine reading comprehension with dual-graph neural network,-1,-1,-1,#excluded #outofscopeno semantic web technologies,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177181063&doi=10.1016%2fj.patrec.2023.11.008&partnerID=40&md5=5c86f6f33010e859a8a8bc157d66fe9d,"Logical reasoning of context is vital for reading comprehension, which requires to explore the logical relationship through sentence structure. However, previous methods of logical symbols and graph-based models do not make full explore the relationships among entities. In this paper, we present a verb-driven dual-graph network (VDGN) that utilizes core verbs of sentences to model the inter-sentence relationship by the ability of verbs to express linguistic context and the shortest dependency path to model the relationship between entities of intra-sentence. We construct a context graph and a query graph respectively through the above method. In order to predict the answer correctly, our framework fuses information from the context graph and the query graph applying a bi-directional attention mechanism on graph data. We evaluate our approach on two public logical reasoning machine reading comprehension(MRC) datasets: ReClor and LogiQA. Experiments on representative benchmark datasets demonstrate the effectiveness of our approach. © 2023 Elsevier B.V.",Final,,
Lymperaiou M.; Stamou G.,The Contribution of Knowledge in Visiolinguistic Learning: A Survey on Tasks and Challenges,-1,-1,-1,#excluded #outofscope,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166465476&partnerID=40&md5=8fb195719401d3640ea348259374011d,"Recent advancements in visiolinguistic (VL) learning have allowed the development of multiple models and techniques that offer several impressive implementations, able to currently resolve a variety of tasks that require the collaboration of vision and language. Current datasets used for VL pre-training only contain a limited amount of visual and linguistic knowledge, thus significantly limiting the generalization capabilities of many VL models. External knowledge sources such as knowledge graphs (KGs) and Large Language Models (LLMs) are able to cover such generalization gaps by filling in missing knowledge, resulting in the emergence of hybrid architectures. In the current survey, we analyze tasks that have benefited from such hybrid approaches. Moreover, we categorize existing knowledge sources and types, proceeding to discussion regarding the KG vs LLM dilemma and its potential impact to future hybrid approaches.  © 2023 Copyright for this paper by its authors.",Final,,
